cell_id,vaccine_element,log_p_no_response,p_no_response,p_response,log_p_response
5,mut33,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
5,mut39,-0.19062173960874093,0.8264451404965794,0.17355485950342064,-1.7512615364704385
5,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
5,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
6,mut11,-0.28593170941306684,0.7513139218637056,0.2486860781362944,-1.3915639082828826
6,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut15,-0.8879431291328612,0.41150128788679563,0.5884987121132044,-0.5301805407069625
6,mut19,-0.6872726558929297,0.5029459067625376,0.4970540932374624,-0.6990564192961015
6,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut28,-0.8903151124445836,0.4105263704002786,0.5894736295997214,-0.5285252935087257
6,mut33,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
6,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
7,mut11,-0.7379165760132744,0.478108982310103,0.521891017689897,-0.6502964912685814
7,mut12,-0.19062173960874093,0.8264451404965794,0.17355485950342064,-1.7512615364704385
7,mut15,-1.2345674922974634,0.2909605778488621,0.7090394221511379,-0.3438441515258995
7,mut19,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut28,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut33,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
7,mut44,-0.1906217396087409,0.8264451404965794,0.17355485950342064,-1.7512615364704385
7,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
8,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
8,mut12,-0.29598224304434645,0.743800635537817,0.25619936446218305,-1.361799370154184
8,mut15,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
8,mut19,-0.6872726558929297,0.5029459067625376,0.4970540932374624,-0.6990564192961015
8,mut20,-0.19062173960874093,0.8264451404965794,0.17355485950342064,-1.7512615364704385
8,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
8,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
8,mut28,-1.2022222762872539,0.3005256183321956,0.6994743816678044,-0.3574261093245313
8,mut33,-0.5819121524573242,0.5588287784615797,0.44117122153842026,-0.8183222214309787
8,mut39,-0.3912922128486724,0.6761825379417873,0.3238174620582127,-1.1275753106620796
8,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
8,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
9,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut12,-0.29598224304434645,0.743800635537817,0.25619936446218305,-1.361799370154184
9,mut15,-1.2792335419814447,0.2782504860600564,0.7217495139399436,-0.3260771338858818
9,mut19,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut28,-1.3017065925557263,0.27206708894787496,0.7279329110521251,-0.31754639018017744
9,mut33,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
9,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
10,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut15,-0.6872726558929297,0.5029459067625376,0.4970540932374624,-0.6990564192961015
10,mut19,-0.7097457064672115,0.4917692352982953,0.5082307647017047,-0.6768196733252213
10,mut20,-0.6671715886303705,0.5131579488885062,0.4868420511114938,-0.719815538872558
10,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut28,-0.9974277330856665,0.36882694337828664,0.6311730566217133,-0.4601751963220744
10,mut33,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
10,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
11,mut11,-0.1906217396087409,0.8264451404965794,0.17355485950342064,-1.7512615364704385
11,mut12,-0.20067227324002052,0.8181805272736707,0.18181947272632926,-1.7047409922688193
11,mut15,-0.4866021826529983,0.614711527218304,0.385288472781696,-0.9537629453119777
11,mut19,-0.4765516490217187,0.6209208573682788,0.37907914263172116,-0.9700102760907275
11,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
11,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
11,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
11,mut28,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
11,mut33,-0.38124167921739277,0.6830127996724046,0.3169872003275954,-1.148893883435522
11,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
11,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
11,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
12,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut15,-1.1010361193157947,0.3325263681526469,0.6674736318473531,-0.40425539233839797
12,mut19,-1.5530209859160025,0.21160774323782275,0.7883922567621773,-0.23775952521022833
12,mut20,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut28,-1.7717101393014767,0.17004194462087918,0.8299580553791208,-0.1863801151562706
12,mut33,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut39,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut44,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
12,mut8,-1.0000000494736474e-07,0.9999999,9.999999994736442e-08,-16.118095651484676
13,mut11,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut12,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut15,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut19,-1.0238464854262521,0.3592105811561647,0.6407894188438352,-0.44505439578030653
13,mut20,-0.4765516490217187,0.6209208573682788,0.37907914263172116,-0.9700102760907275
13,mut24,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut26,-1.8000000890525653e-06,0.999998200001531,1.7999984690542092e-06,-13.227724743587956
13,mut28,-1.3399279957330688,0.26186452326454196,0.738135476735458,-0.30362789841681775
